"Time","Amount","NormalizedAmount","Legend"
0,0,0,"Raltegravir - BloodCells"
0.05,0.0084007107063826,9.33353192375235e-07,"Raltegravir - BloodCells"
0.1,0.0605514952185331,6.72751786612204e-06,"Raltegravir - BloodCells"
0.15,0.161050249217624,1.78933389678436e-05,"Raltegravir - BloodCells"
0.2,0.300431868465239,3.3379204846352e-05,"Raltegravir - BloodCells"
0.25,0.463906188786495,5.1541867991899e-05,"Raltegravir - BloodCells"
0.3,0.63515917939003,7.05687731038883e-05,"Raltegravir - BloodCells"
0.35,0.800092854442482,8.88935765069416e-05,"Raltegravir - BloodCells"
0.4,0.948512338458386,0.000105383585990506,"Raltegravir - BloodCells"
0.45,1.07427508969704,0.000119356340136332,"Raltegravir - BloodCells"
0.5,1.17471055436181,0.000130515129535106,"Raltegravir - BloodCells"
0.55,1.2497896663408,0.000138856724823354,"Raltegravir - BloodCells"
0.6,1.30124022663222,0.000144573091732763,"Raltegravir - BloodCells"
0.65,1.33179380629736,0.000147967718939397,"Raltegravir - BloodCells"
0.7,1.34462344869098,0.000149393144490121,"Raltegravir - BloodCells"
0.75,1.34294040509849,0.000149206151488593,"Raltegravir - BloodCells"
0.8,1.3297441060422,0.00014773998888852,"Raltegravir - BloodCells"
0.85,1.3076914082194,0.000145289844295664,"Raltegravir - BloodCells"
0.9,1.27905124115932,0.000142107805026608,"Raltegravir - BloodCells"
0.95,1.24570590062649,0.000138403001811148,"Raltegravir - BloodCells"
1,1.20918051747867,0.000134344882902489,"Raltegravir - BloodCells"
1.05,1.17068808837939,0.000130068217172911,"Raltegravir - BloodCells"
1.1,1.13117691135267,0.000125678364397195,"Raltegravir - BloodCells"
1.15,1.09137545118574,0.000121256259981699,"Raltegravir - BloodCells"
1.2,1.05183307013795,0.000116862940312087,"Raltegravir - BloodCells"
1.25,1.01295634033886,0.000112543577208734,"Raltegravir - BloodCells"
1.3,0.975038669261266,0.000108330769437504,"Raltegravir - BloodCells"
1.35,0.938284228795965,0.000104247201327464,"Raltegravir - BloodCells"
1.4,0.902827520571009,0.000100307816557585,"Raltegravir - BloodCells"
1.45,0.868749299530464,9.65215873312301e-05,"Raltegravir - BloodCells"
1.5,0.836089010568685,9.2892896136899e-05,"Raltegravir - BloodCells"
1.55,0.80485572260659,8.94227505686617e-05,"Raltegravir - BloodCells"
1.6,0.775036630613613,8.61097279354421e-05,"Raltegravir - BloodCells"
1.65,0.746602924024046,8.29506272659869e-05,"Raltegravir - BloodCells"
1.7,0.71951345432899,7.99408767932771e-05,"Raltegravir - BloodCells"
1.75,0.693718741051271,7.70749790346659e-05,"Raltegravir - BloodCells"
1.8,0.669164482482302,7.43469008490498e-05,"Raltegravir - BloodCells"
1.85,0.645793982977921,7.17503431193276e-05,"Raltegravir - BloodCells"
1.9,0.623549366115185,6.9278875539064e-05,"Raltegravir - BloodCells"
1.95,0.602372559806099,6.69260460626388e-05,"Raltegravir - BloodCells"
2,0.582206275223143,6.46854896678627e-05,"Raltegravir - BloodCells"
2.25,0.494664027493855,5.49591892104793e-05,"Raltegravir - BloodCells"
2.5,0.425038450834109,4.72235039193566e-05,"Raltegravir - BloodCells"
2.75,0.368773351794516,4.09722221357793e-05,"Raltegravir - BloodCells"
3,0.322599051742145,3.58420692396882e-05,"Raltegravir - BloodCells"
3.25,0.284190016394859,3.15746688957857e-05,"Raltegravir - BloodCells"
3.5,0.251874223880804,2.79842526606197e-05,"Raltegravir - BloodCells"
3.75,0.224429283711288,2.49350079696552e-05,"Raltegravir - BloodCells"
4,0.200940824553982,2.23253444418074e-05,"Raltegravir - BloodCells"
4.25,0.180706962108161,2.00772798710873e-05,"Raltegravir - BloodCells"
4.5,0.163180228264537,1.81299883196202e-05,"Raltegravir - BloodCells"
4.75,0.147927847508072,1.64353866641254e-05,"Raltegravir - BloodCells"
5,0.134600557579688,1.49546704443755e-05,"Raltegravir - BloodCells"
5.25,0.122912266243475,1.3656053647135e-05,"Raltegravir - BloodCells"
5.5,0.112626936983361,1.25133116536196e-05,"Raltegravir - BloodCells"
5.75,0.10354853181434,1.15046638448403e-05,"Raltegravir - BloodCells"
6,0.095512496603078,1.06118275860256e-05,"Raltegravir - BloodCells"
6.25,0.0883799363300568,9.81937107450986e-06,"Raltegravir - BloodCells"
6.5,0.0820332601479095,9.11422948796784e-06,"Raltegravir - BloodCells"
6.75,0.0763722916180996,8.4852728158592e-06,"Raltegravir - BloodCells"
7,0.0713111200620915,7.92295603171262e-06,"Raltegravir - BloodCells"
7.25,0.066775750501165,7.41905799186273e-06,"Raltegravir - BloodCells"
7.5,0.062702663008622,6.96652137360967e-06,"Raltegravir - BloodCells"
7.75,0.0590370436093508,6.55925612095158e-06,"Raltegravir - BloodCells"
8,0.0557311301431582,6.19195566326021e-06,"Raltegravir - BloodCells"
8.25,0.0527432320232037,5.85998800644843e-06,"Raltegravir - BloodCells"
8.5,0.0500370315721739,5.55931810857217e-06,"Raltegravir - BloodCells"
8.75,0.0475807544503368,5.28641571100681e-06,"Raltegravir - BloodCells"
9,0.0453464853744663,5.03817931203111e-06,"Raltegravir - BloodCells"
9.25,0.0433096465417293,4.81187821759578e-06,"Raltegravir - BloodCells"
9.5,0.0414485993760536,4.60510829372201e-06,"Raltegravir - BloodCells"
