"Time","Amount","NormalizedAmount","Legend"
0,0,0,"Raltegravir - BloodCells"
0.05,0.0235391707233248,2.61529778948208e-05,"Raltegravir - BloodCells"
0.1,0.168578380596045,0.000187297450411216,"Raltegravir - BloodCells"
0.15,0.446771270384488,0.000496381087326434,"Raltegravir - BloodCells"
0.2,0.830874293555098,0.000923135198267176,"Raltegravir - BloodCells"
0.25,1.27910419499676,0.00142113688413735,"Raltegravir - BloodCells"
0.3,1.74587286075985,0.00193973589262326,"Raltegravir - BloodCells"
0.35,2.19225430562801,0.00243568386791568,"Raltegravir - BloodCells"
0.4,2.59049745704397,0.00287814823754722,"Raltegravir - BloodCells"
0.45,2.92430280556437,0.00324901958232134,"Raltegravir - BloodCells"
0.5,3.18704371960484,0.00354093544451256,"Raltegravir - BloodCells"
0.55,3.37935414508684,0.00375460016387289,"Raltegravir - BloodCells"
0.6,3.50665356696118,0.00389603500902672,"Raltegravir - BloodCells"
0.65,3.57703012548154,0.00397422623338761,"Raltegravir - BloodCells"
0.7,3.59960153533029,0.00399930398951452,"Raltegravir - BloodCells"
0.75,3.5834667601448,0.00398137759679135,"Raltegravir - BloodCells"
0.8,3.53704003378516,0.00392979561191669,"Raltegravir - BloodCells"
0.85,3.46770672706771,0.00385276348282135,"Raltegravir - BloodCells"
0.9,3.38167418909143,0.00375717782730378,"Raltegravir - BloodCells"
0.95,3.28403269581031,0.00364869414937761,"Raltegravir - BloodCells"
1,3.17886803316651,0.00353185192372034,"Raltegravir - BloodCells"
1.05,3.06939154397696,0.00341021908306382,"Raltegravir - BloodCells"
1.1,2.95806760352571,0.0032865336487719,"Raltegravir - BloodCells"
1.15,2.84676712483633,0.0031628742814535,"Raltegravir - BloodCells"
1.2,2.7368919076107,0.00304079843770072,"Raltegravir - BloodCells"
1.25,2.62945962316007,0.00292143679181049,"Raltegravir - BloodCells"
1.3,2.52517964318395,0.00280557748464782,"Raltegravir - BloodCells"
1.35,2.42452647475875,0.00269374771291082,"Raltegravir - BloodCells"
1.4,2.32779796689283,0.00258627839898509,"Raltegravir - BloodCells"
1.45,2.23515611283074,0.00248334952396655,"Raltegravir - BloodCells"
1.5,2.14665815001354,0.00238502468098465,"Raltegravir - BloodCells"
1.55,2.06228466694301,0.00229128230307387,"Raltegravir - BloodCells"
1.6,1.98196140430809,0.00220203988511352,"Raltegravir - BloodCells"
1.65,1.90557519855793,0.0021171716977872,"Raltegravir - BloodCells"
1.7,1.83298547173035,0.0020365215532504,"Raltegravir - BloodCells"
1.75,1.76403418453992,0.00195991386341688,"Raltegravir - BloodCells"
1.8,1.69855321197247,0.0018871618345448,"Raltegravir - BloodCells"
1.85,1.63637004047632,0.00181807379704834,"Raltegravir - BloodCells"
1.9,1.57731102022808,0.00175245681889747,"Raltegravir - BloodCells"
1.95,1.5212050222035,0.00169012076877275,"Raltegravir - BloodCells"
2,1.46788580655993,0.0016308809474347,"Raltegravir - BloodCells"
2.25,1.23772251359333,0.00137516014979461,"Raltegravir - BloodCells"
2.5,1.05628863567836,0.00117357971800056,"Raltegravir - BloodCells"
2.75,0.91085095606104,0.00101199252936027,"Raltegravir - BloodCells"
3,0.792382455249026,0.000880369197366719,"Raltegravir - BloodCells"
3.25,0.694514230453933,0.000771633611489211,"Raltegravir - BloodCells"
3.5,0.612697154516354,0.000680731506076716,"Raltegravir - BloodCells"
3.75,0.543520470560907,0.000603873391252343,"Raltegravir - BloodCells"
4,0.484521216279973,0.000538322815526613,"Raltegravir - BloodCells"
4.25,0.433881355595076,0.00048205986673137,"Raltegravir - BloodCells"
4.5,0.390173126048467,0.000433498242594733,"Raltegravir - BloodCells"
4.75,0.352262018310284,0.000391377457019972,"Raltegravir - BloodCells"
5,0.31924114495996,0.000354689921127173,"Raltegravir - BloodCells"
5.25,0.290366278655711,0.00032260876801235,"Raltegravir - BloodCells"
5.5,0.265024010586785,0.00029445247549035,"Raltegravir - BloodCells"
5.75,0.2427059871643,0.000269656242008514,"Raltegravir - BloodCells"
6,0.222987364430082,0.000247748048616922,"Raltegravir - BloodCells"
6.25,0.205511234580626,0.000228331356201885,"Raltegravir - BloodCells"
6.5,0.189976354758983,0.000211071471673686,"Raltegravir - BloodCells"
6.75,0.176127296481354,0.000195684603578116,"Raltegravir - BloodCells"
7,0.163746646119762,0.000181929196514885,"Raltegravir - BloodCells"
7.25,0.152648685022541,0.000169598909493958,"Raltegravir - BloodCells"
7.5,0.142674189051831,0.000158516838009789,"Raltegravir - BloodCells"
7.75,0.133686125939676,0.000148530733628612,"Raltegravir - BloodCells"
8,0.125566585946217,0.000139509593824624,"Raltegravir - BloodCells"
8.25,0.118213690780067,0.000131340227664554,"Raltegravir - BloodCells"
8.5,0.111538771764572,0.000123924120635389,"Raltegravir - BloodCells"
8.75,0.105464561768713,0.000117175425805932,"Raltegravir - BloodCells"
9,0.0999238037848045,0.000111019417899922,"Raltegravir - BloodCells"
9.25,0.0948578357210863,0.000105390920942933,"Raltegravir - BloodCells"
9.5,0.090215241120859,0.00010023280915635,"Raltegravir - BloodCells"
9.75,0.0859508062167151,9.54948482021238e-05,"Raltegravir - BloodCells"
10,0.0820247330775601,9.11328209570422e-05,"Raltegravir - BloodCells"
10.25,0.0784019660177364,8.71077791258204e-05,"Raltegravir - BloodCells"
10.5,0.0750515495496984,8.33853299003591e-05,"Raltegravir - BloodCells"
10.75,0.0719460766413249,7.99350229511351e-05,"Raltegravir - BloodCells"
11,0.0690612452372079,7.67298577042814e-05,"Raltegravir - BloodCells"
11.25,0.066375489141592,7.37458732374912e-05,"Raltegravir - BloodCells"
11.5,0.0638696446762879,7.09617779233764e-05,"Raltegravir - BloodCells"
11.75,0.0615266550448723,6.83586209660462e-05,"Raltegravir - BloodCells"
12,0.059331311034839,6.59195043106308e-05,"Raltegravir - BloodCells"
12.25,0.057270049046565,6.36293582452323e-05,"Raltegravir - BloodCells"
12.5,0.05533075689209,6.14747256354553e-05,"Raltegravir - BloodCells"
12.75,0.0535026062780162,5.94435758060818e-05,"Raltegravir - BloodCells"
13,0.0517759073409252,5.7525142923992e-05,"Raltegravir - BloodCells"
13.25,0.0501419839970367,5.57097875065557e-05,"Raltegravir - BloodCells"
13.5,0.0485930561694659,5.39888655713155e-05,"Raltegravir - BloodCells"
13.75,0.0471221479147061,5.23546265607661e-05,"Raltegravir - BloodCells"
14,0.0457229955150069,5.08001112292399e-05,"Raltegravir - BloodCells"
14.25,0.0443899695087566,4.93190650154861e-05,"Raltegravir - BloodCells"
14.5,0.0431180075761404,4.79058634759007e-05,"Raltegravir - BloodCells"
14.75,0.0419025524242898,4.65554432723972e-05,"Raltegravir - BloodCells"
15,0.0407394952139839,4.52632393171661e-05,"Raltegravir - BloodCells"
15.25,0.0396251369838865,4.402514191343e-05,"Raltegravir - BloodCells"
15.5,0.0385561310397406,4.28374327474917e-05,"Raltegravir - BloodCells"
15.75,0.037529455120648,4.16967539643361e-05,"Raltegravir - BloodCells"
16,0.0365423710227333,4.06000633078758e-05,"Raltegravir - BloodCells"
16.25,0.0355924029563539,3.95446100749297e-05,"Raltegravir - BloodCells"
16.5,0.0346772960099315,3.85278889668463e-05,"Raltegravir - BloodCells"
16.75,0.0337950070961597,3.75476300303726e-05,"Raltegravir - BloodCells"
17,0.0329436703523243,3.66017602159991e-05,"Raltegravir - BloodCells"
17.25,0.0321215878120711,3.56883930139143e-05,"Raltegravir - BloodCells"
17.5,0.0313272039293224,3.48058001490373e-05,"Raltegravir - BloodCells"
17.75,0.0305590969728655,3.39524020200552e-05,"Raltegravir - BloodCells"
18,0.029815959542475,3.3126746052041e-05,"Raltegravir - BloodCells"
18.25,0.0290965884432808,3.2327495446464e-05,"Raltegravir - BloodCells"
18.5,0.0283998760589839,3.15534195964805e-05,"Raltegravir - BloodCells"
18.75,0.027724795275617,3.0803377336618e-05,"Raltegravir - BloodCells"
19,0.0270703982027953,3.00763155220324e-05,"Raltegravir - BloodCells"
19.25,0.0264358020181135,2.93712533010563e-05,"Raltegravir - BloodCells"
19.5,0.0258201857302538,2.86872785188805e-05,"Raltegravir - BloodCells"
19.75,0.0252227795979252,2.80235359615635e-05,"Raltegravir - BloodCells"
20,0.0246428661948812,2.73792285393105e-05,"Raltegravir - BloodCells"
20.25,0.0240797710125662,2.67536068456298e-05,"Raltegravir - BloodCells"
20.5,0.0235328587095864,2.61459649903429e-05,"Raltegravir - BloodCells"
20.75,0.0230015302165612,2.55556373829558e-05,"Raltegravir - BloodCells"
21,0.0224852193741754,2.49819949973983e-05,"Raltegravir - BloodCells"
21.25,0.0219833908022338,2.44244430044569e-05,"Raltegravir - BloodCells"
21.5,0.0214955344704322,2.38824147396798e-05,"Raltegravir - BloodCells"
21.75,0.0210211649271059,2.33553708464855e-05,"Raltegravir - BloodCells"
22,0.0205598225813901,2.28428007006946e-05,"Raltegravir - BloodCells"
22.25,0.0201110647567475,2.23442124706353e-05,"Raltegravir - BloodCells"
22.5,0.0196744706352092,2.18591386103958e-05,"Raltegravir - BloodCells"
22.75,0.0192496358343988,2.13871298346773e-05,"Raltegravir - BloodCells"
23,0.0188361742997358,2.09277572211092e-05,"Raltegravir - BloodCells"
23.25,0.0184337135281112,2.04806069035578e-05,"Raltegravir - BloodCells"
23.5,0.0180418969608809,2.00452827308398e-05,"Raltegravir - BloodCells"
23.75,0.0176603802621003,1.96214021316891e-05,"Raltegravir - BloodCells"
