"Path","Parameter","Value","Unit"
"Raltegravir","C_max",3568.55638939686,"µg/l"
"Raltegravir","C_max_norm",0.651261589581413,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",28.2685934538469,"µg/l"
"Raltegravir","AUC",8703.64983366906,"µg*h/l"
"Raltegravir","AUC_norm",1.58841614791813,"kg*h/l"
"Raltegravir","AUC_inf",9072.42440344098,"µg*h/l"
"Raltegravir","AUC_inf_norm",1.65571736728,"kg*h/l"
"Raltegravir","MRT",4.89221852620443,"h"
"Raltegravir","Thalf",9.0423583984375,"h"
"Raltegravir","CL",10.0661301985383,"ml/min/kg"
"Raltegravir","Vss",2954.74243164063,"ml/kg"
"Raltegravir","Vd",7878.98111343384,"ml/kg"
