"Path","Parameter","Value","Unit"
"Raltegravir","C_max",894.083834013556,"µg/l"
"Raltegravir","C_max_norm",0.0326340617893867,"kg/l"
"Raltegravir","C_max_t1_t2",863.159564847339,"µg/l"
"Raltegravir","C_max_t1_t2_norm",0.630106484868812,"kg/l"
"Raltegravir","C_max_tLast_tEnd",892.671955619075,"µg/l"
"Raltegravir","C_max_tLast_tEnd_norm",0.651650564947987,"kg/l"
"Raltegravir","t_max",168.75,"h"
"Raltegravir","t_max_t1_t2",0.75,"h"
"Raltegravir","t_max_tLast_tEnd",228.75,"h"
"Raltegravir","C_trough_t2",19.6617509739384,"µg/l"
"Raltegravir","C_trough_tLast",31.9225175207436,"µg/l"
"Raltegravir","AUC_t1_t2",1978.75652324524,"µg*h/l"
"Raltegravir","AUC_t1_t2_norm",1.44449234395168,"kg*h/l"
"Raltegravir","AUC_tLast_minus_1_tLast",2218.56270699966,"µg*h/l"
"Raltegravir","AUC_tLast_minus_1_tLast_norm",1.61955088729701,"kg*h/l"
"Raltegravir","AUC_inf_t1",2144.346170442,"µg*h/l"
"Raltegravir","AUC_inf_t1_norm",1.56537262946357,"kg*h/l"
"Raltegravir","AUC_inf_tLast",2536.55426957423,"µg*h/l"
"Raltegravir","AUC_inf_tLast_norm",1.85168469019672,"kg*h/l"
"Raltegravir","MRT",3.96214294433594,"h"
"Raltegravir","Thalf",5.8376225789388,"h"
"Raltegravir","Thalf_tLast_tEnd",6.90015920003255,"h"
