"Path","Parameter","Value","Unit"
"Raltegravir","C_max",276.849300776714,"µg/l"
"Raltegravir","C_max_norm",0.808399971496537,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",4.89413912414193,"µg/l"
"Raltegravir","AUC",605.060434743741,"µg*h/l"
"Raltegravir","AUC_norm",1.76677640809493,"kg*h/l"
"Raltegravir","AUC_inf",638.89550445886,"µg*h/l"
"Raltegravir","AUC_inf_norm",1.86557489202547,"kg*h/l"
"Raltegravir","MRT",3.32707646687826,"h"
"Raltegravir","Thalf",4.79199523925781,"h"
"Raltegravir","CL",8.93379654735327,"ml/min/kg"
"Raltegravir","Vss",1783.40554237366,"ml/kg"
"Raltegravir","Vd",3705.76810836792,"ml/kg"
