"Path","Parameter","Value","Unit"
"Raltegravir","C_max",8156.78968586922,"µg/l"
"Raltegravir","C_max_norm",1.48861406087813,"kg/l"
"Raltegravir","t_max",0.7,"h"
"Raltegravir","C_tEnd",42.1868866932839,"µg/l"
"Raltegravir","AUC",18791.0101430685,"µg*h/l"
"Raltegravir","AUC_norm",3.42935911837733,"kg*h/l"
"Raltegravir","AUC_inf",19278.7071222848,"µg*h/l"
"Raltegravir","AUC_inf_norm",3.51836397067702,"kg*h/l"
"Raltegravir","MRT",4.02031173706055,"h"
"Raltegravir","Thalf",8.01305440266927,"h"
"Raltegravir","CL",4.73705027252436,"ml/min/kg"
"Raltegravir","Vss",1142.66502857208,"ml/kg"
"Raltegravir","Vd",3285.7301235199,"ml/kg"
