"Path","Parameter","Value","Unit"
"Raltegravir","C_max",4673.72626824626,"µg/l"
"Raltegravir","C_max_norm",0.852955038757112,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",3.83787428910872,"µg/l"
"Raltegravir","AUC",10899.6063243669,"µg*h/l"
"Raltegravir","AUC_norm",1.98917820509072,"kg*h/l"
"Raltegravir","AUC_inf",10952.6203643203,"µg*h/l"
"Raltegravir","AUC_inf_norm",1.99885320719723,"kg*h/l"
"Raltegravir","MRT",4.10985539754232,"h"
"Raltegravir","Thalf",9.57474263509115,"h"
"Raltegravir","CL",8.33811424672604,"ml/min/kg"
"Raltegravir","Vss",2056.10656738281,"ml/kg"
"Raltegravir","Vd",6910.67886352539,"ml/kg"
