"Path","Parameter","Value","Unit"
"Raltegravir","C_max",6330.51899602719,"µg/l"
"Raltegravir","C_max_norm",1.1553197236342,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",35.8364801848084,"µg/l"
"Raltegravir","AUC",14694.8276738035,"µg*h/l"
"Raltegravir","AUC_norm",2.6818061046143,"kg*h/l"
"Raltegravir","AUC_inf",15124.2130969903,"µg*h/l"
"Raltegravir","AUC_inf_norm",2.76016890493867,"kg*h/l"
"Raltegravir","MRT",4.18633473714193,"h"
"Raltegravir","Thalf",8.30514170328776,"h"
"Raltegravir","CL",6.03827787563205,"ml/min/kg"
"Raltegravir","Vss",1516.6951417923,"ml/kg"
"Raltegravir","Vd",4340.96145629883,"ml/kg"
