"Path","Parameter","Value","Unit"
"Raltegravir","C_max",2580.43880538306,"µg/l"
"Raltegravir","C_max_norm",0.470930065353925,"kg/l"
"Raltegravir","t_max",2.5,"h"
"Raltegravir","C_tEnd",35.927679449863,"µg/l"
"Raltegravir","AUC",14119.0901184894,"µg*h/l"
"Raltegravir","AUC_norm",2.57673400317093,"kg*h/l"
"Raltegravir","AUC_inf",14606.35400158,"µg*h/l"
"Raltegravir","AUC_inf_norm",2.6656596901137,"kg*h/l"
"Raltegravir","MRT",5.9893320719401,"h"
"Raltegravir","Thalf",9.40070190429688,"h"
"Raltegravir","CL",6.25236099585891,"ml/min/kg"
"Raltegravir","Vss",2246.84810638428,"ml/kg"
"Raltegravir","Vd",5087.80097961426,"ml/kg"
