"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.0747922
0,6,0.9557527
0,9,3.016408
0,12,6.112153
0,15,9.931458
0,18,14.08605
0,21,18.21161
0,24,22.02435
0,27,25.33608
0,30,28.04686
0,33,30.12836
0,36,31.60412
0,39,32.53085
0,42,32.98241
0,45,33.03863
0,48,32.77713
0,51,32.26878
0,54,31.57516
0,57,30.74804
0,60,29.8298
0,63,28.85434
0,66,27.84817
0,69,26.83166
0,72,25.82022
0,75,24.82517
0,78,23.85468
0,81,22.9144
0,84,22.00806
0,87,21.13788
0,90,20.30497
0,93,19.5096
0,96,18.75139
0,99,18.02942
0,102,17.34257
0,105,16.68952
0,108,16.06882
0,111,15.47896
0,114,14.9184
0,117,14.3856
0,120,13.87903
0,135,11.69022
0,150,9.963197
0,165,8.578409
0,180,7.45056
0,195,6.519251
0,210,5.741247
0,225,5.085037
0,240,4.527129
0,255,4.049619
0,270,3.638562
0,285,3.282915
0,300,2.973843
0,315,2.704152
0,330,2.467933
0,345,2.260299
0,360,2.077187
0,375,1.91519
0,390,1.771443
0,405,1.643528
0,420,1.529395
0,435,1.427292
0,450,1.335727
0,465,1.253425
0,480,1.179284
0,495,1.112354
0,510,1.051813
0,525,0.9969447
0,540,0.9471261
0,555,0.9018105
0,570,0.8605185
0,585,0.8228273
0,600,0.7883634
0,615,0.7567952
0,630,0.7278281
0,645,0.7011991
0,660,0.6766247
0,675,0.6535984
0,690,0.6319907
0,705,0.6117316
0,720,0.5927339
0,735,0.5749048
0,750,0.5581519
0,765,0.5423865
0,780,0.5275001
0,795,0.5127553
0,810,0.4980006
0,825,0.4834345
0,840,0.4691668
0,855,0.4552613
0,870,0.4417549
0,885,0.4286653
0,900,0.4159988
0,915,0.4037544
0,930,0.3919258
0,945,0.3805064
0,960,0.3694865
0,975,0.3588545
0,990,0.3485981
0,1005,0.3387049
0,1020,0.3291621
0,1035,0.3199571
0,1050,0.3110774
0,1065,0.3025106
0,1080,0.2942447
0,1095,0.286268
0,1110,0.2785692
0,1125,0.2711373
0,1140,0.2639619
0,1155,0.2570326
0,1170,0.2503397
0,1185,0.2438738
0,1200,0.2376259
0,1215,0.2315874
0,1230,0.2257498
0,1245,0.2201053
0,1260,0.2146462
0,1275,0.2093652
0,1290,0.2042553
0,1305,0.1993098
0,1320,0.1945222
0,1335,0.1898864
0,1350,0.1853964
0,1365,0.1810466
0,1380,0.1768316
0,1395,0.1727462
0,1410,0.1687854
0,1425,0.1649445
0,1440,0.1612187
0,1455,0.1576039
0,1470,0.1540957
0,1485,0.1506902
0,1500,0.1473835
0,1515,0.1441718
0,1530,0.1410517
0,1545,0.1380198
0,1560,0.1350727
0,1575,0.1322074
0,1590,0.1294209
0,1605,0.1267103
0,1620,0.1240728
0,1635,0.1215058
0,1650,0.1190068
0,1665,0.1165734
0,1680,0.1142033
0,1695,0.1118941
0,1710,0.1096439
0,1725,0.1074504
0,1740,0.1053119
0,1755,0.1032264
0,1770,0.101192
0,1785,0.09920718
0,1800,0.09727014
0,1815,0.09537932
0,1830,0.09353322
0,1845,0.09173037
0,1860,0.08996937
0,1875,0.08824888
0,1890,0.08656761
0,1905,0.08492434
0,1920,0.08331787
0,1935,0.08174708
0,1950,0.08021086
0,1965,0.07870819
0,1980,0.07723805
0,1995,0.07579948
0,2010,0.07439156
0,2025,0.0730134
0,2040,0.07166414
0,2055,0.07034297
0,2070,0.06904911
0,2085,0.06778179
0,2100,0.06654029
0,2115,0.06532391
0,2130,0.06413198
0,2145,0.06296386
0,2160,0.06181891
0,2175,0.06069654
0,2190,0.05959618
0,2205,0.05851727
0,2220,0.05745927
0,2235,0.05642167
0,2250,0.05540397
0,2265,0.0544057
0,2280,0.05342638
0,2295,0.05246558
0,2310,0.05152285
0,2325,0.05059779
0,2340,0.04969
0,2355,0.04879908
0,2370,0.04792465
0,2385,0.04706635
0,2400,0.04622384
0,2415,0.04539676
0,2430,0.0445848
0,2445,0.04378762
0,2460,0.04300492
