"Time","Concentration","Legend","Path"
0.25,737.766212,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,2494.352452,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,3759.094406,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,3618.567498,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,3021.328194,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3,1686.322677,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,913.4247926,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,238.6494373,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
8,134.4318484,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
12,39.29863837,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
15,19.3095546,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
24,15.09896852,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
32,7.624499346,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
48,4.294901229,"Observed_Raltegravir 400mg (lactose formulation)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0,0,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.05,10.9753893439766,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,138.37972457678,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.15,433.337610758716,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,874.493054431522,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.25,1417.61205118701,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,2007.44610413537,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.35,2592.07268335361,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,3131.11778844304,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.45,3598.04679406977,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,3979.0596352541,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.55,4270.62433793211,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.6,4476.52526598654,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.65,4605.13048756618,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.7,4667.08233407383,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.75,4673.72626824627,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.8,4636.00850645704,"Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
