"Time","Concentration","Legend","Path"
0.5,1041.600703,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,1347.136909,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,1624.897097,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,1555.45705,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3,1097.152741,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,819.3925531,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
5,527.7443563,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,291.6481969,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
8,83.32805625,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
12,41.66402813,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
16,13.88800938,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
24,13.88800938,"Observed_Raltegravir 400mg filmcoated tablet","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
