"Time","mean","median","lowPerc","highPerc","legendMean","legendMedian","legendRange","Path"
0,0,0,0,0,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.05,3.85534113107383,0.849603965047124,0.0202484991853593,19.8483951554884,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,30.9392747283763,11.6276658215073,0.556662847113304,134.716720648407,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.15,81.4014524479952,37.72118552811,2.61879310032826,317.65471876401,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,150.804808923638,76.8981752921239,7.04137620212825,554.332664750002,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.25,235.279531029013,123.772518122053,14.107146295464,847.149340660845,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,330.833174495517,177.30495364228,24.6420304909303,1202.75528974326,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.35,433.567431008738,239.011357143664,37.9062872888038,1544.05649486761,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,539.929388794552,303.607429374263,52.7500482733324,1943.32420318433,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.45,646.888626336397,368.857177461159,68.2237182737748,2323.61470301191,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,752.051061972859,440.953515924191,87.7666092187472,2645.87173475816,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.55,853.689954053323,511.725602516735,110.873470623751,2984.41469107233,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.6,950.709423153885,589.688414910591,133.079831750469,3269.68303066214,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.65,1042.51558096759,673.793772466552,158.117116339694,3538.55233647682,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.7,1128.90080320638,752.832552749818,184.79182557246,3742.42055168447,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.75,1209.9147785364,827.414035590625,210.558106286723,3896.06337307572,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.8,1285.75447383443,905.961731191802,243.662328276433,3992.03075543593,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.85,1356.69561664666,991.903007467556,274.739549169436,3952.07363266239,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.9,1423.04741167249,1061.02836174731,306.892483654803,3977.63457579603,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.95,1485.12600773524,1136.59601383293,338.630613300833,4042.32117512631,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,1543.23878817146,1212.03996100105,363.763668541866,4011.77041534308,"Simulated mean for Raltegravir","Simulated median for Raltegravir","Simulated [5-95th] percentiles for Raltegravir","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
